lat,lon
32.9963535,-96.62589883
32.996353,-96.62589833
32.99635217,-96.62589833
32.99635167,-96.625898
32.996351,-96.6258975
32.99635083,-96.6258975
32.99635133,-96.62589767
32.99635167,-96.62589733
32.99635167,-96.62589733
32.99635183,-96.62589767
32.99635167,-96.625897
32.996352,-96.62589817
32.996352,-96.62589767
32.99635167,-96.625898
32.99635217,-96.62589833
32.99635567,-96.625899
32.99636267,-96.62589933
32.99637633,-96.62590083
32.99639367,-96.62590283
32.99641783,-96.625909
32.99644883,-96.62592117
32.9964805,-96.625938
32.9965155,-96.62595967
32.99655717,-96.625984
32.996597,-96.62601433
32.99663267,-96.6260485
32.99666767,-96.6260875
32.99670083,-96.62613233
32.9967415,-96.62616983
32.9967745,-96.62620483
32.996801,-96.62624317
32.99682867,-96.62628233
32.9968615,-96.626316
32.99687983,-96.6263725
32.99691633,-96.62640483
32.99694567,-96.62644567
32.99697267,-96.6264905
32.99700467,-96.6265345
32.99703167,-96.626582
32.99705533,-96.6266325
32.99707867,-96.62668483
32.9970945,-96.62674617
32.99710333,-96.62681117
32.9971175,-96.62687367
32.99713067,-96.62693733
32.99713983,-96.62700383
32.99714817,-96.62707333
32.99716167,-96.62713817
32.99717033,-96.62720467
32.99717817,-96.6272745
32.9971875,-96.62734233
32.99719783,-96.6274045
32.997208,-96.627469
32.99721983,-96.62753483
32.99723117,-96.62759917
32.99724567,-96.6276685
32.99725683,-96.6277435
32.99726683,-96.6278175
32.99727617,-96.6278975
32.99728383,-96.62797317
32.99729233,-96.628045
32.99730283,-96.62811233
32.9973105,-96.6281865
32.99732283,-96.6282605
32.99732967,-96.6283375
32.9973355,-96.62841833
32.99734617,-96.6284955
32.99735717,-96.62857567
32.99737033,-96.62865533
32.99738117,-96.62873717
32.9973945,-96.628816
32.9974075,-96.62889433
32.99742267,-96.62897317
32.99743933,-96.62905017
32.99744617,-96.62911917
32.99745267,-96.62917567
32.997456,-96.629218
32.99746867,-96.6292355
32.99747183,-96.62927033
32.99748217,-96.62930833
32.997489,-96.62935117
32.9974935,-96.62939733
32.99750133,-96.629451
32.997508,-96.62951217
32.99751917,-96.62957667
32.99753533,-96.629652
32.99754517,-96.62973083
32.997563,-96.62981417
32.99758233,-96.62990283
32.99759617,-96.62999467
32.997608,-96.6300845
32.99762067,-96.6301725
32.99763633,-96.630256
32.99764967,-96.63034417
32.99766167,-96.63042667
32.99767767,-96.6305145
32.99768817,-96.63060133
32.997697,-96.63068783
32.99770117,-96.63077617
32.997702,-96.63085517
32.99768617,-96.63092633
32.99767583,-96.63099033
32.99766383,-96.631047
32.99764833,-96.6310965
32.99763017,-96.631141
32.99761133,-96.63118133
32.99758633,-96.63122383
32.99755383,-96.631267
32.99751467,-96.63131233
32.99746683,-96.63135867
32.997412,-96.631401
32.9973515,-96.63144
32.99728167,-96.6314715
32.9972075,-96.63149467
32.99713067,-96.6315155
32.99705633,-96.63153217
32.99698733,-96.631548
32.99692067,-96.6315625
32.99685733,-96.63157567
32.99679533,-96.631588
32.99673433,-96.63159983
32.99667383,-96.63161233
32.99661333,-96.631624
32.9965545,-96.63163983
32.99649517,-96.631651
32.996436,-96.631664
32.99637717,-96.63167617
32.99631533,-96.63168833
32.99625333,-96.63170267
32.996189,-96.63171167
32.99612233,-96.63171633
32.996057,-96.63172283
32.9959915,-96.63172867
32.99592717,-96.63173017
32.99586417,-96.63173067
32.99579967,-96.63172583
32.99573917,-96.631718
32.99568517,-96.63170983
32.99563483,-96.63169933
32.99559417,-96.63168967
32.99555117,-96.63168017
32.99551233,-96.63167217
32.99546867,-96.63166017
32.99540983,-96.63166317
32.995365,-96.63164667
32.99529167,-96.63165383
32.9952445,-96.6316245
32.99518417,-96.63160567
32.995119,-96.631587
32.995064,-96.6315635
32.9950095,-96.631544
32.99495817,-96.63151883
32.99491033,-96.6314945
32.99485917,-96.63147433
32.99481083,-96.63145233
32.99475883,-96.63143
32.9947095,-96.63141417
32.994656,-96.63139583
32.9946035,-96.63137767
32.99455267,-96.63135967
32.99449733,-96.6313385
32.9944455,-96.63131883
32.99439567,-96.63129783
32.9943475,-96.631276
32.99430183,-96.631255
32.9942565,-96.63123833
32.994209,-96.63122033
32.9941605,-96.63120267
32.994111,-96.6311845
32.994057,-96.63116483
32.99400633,-96.63114317
32.99394767,-96.6311185
32.99389167,-96.6310935
32.99383767,-96.631065
32.99377083,-96.6310335
32.99373167,-96.6309905
32.9936995,-96.63094433
32.99366467,-96.63089267
32.99362,-96.63084283
32.99359283,-96.63079133
32.99357283,-96.630747
32.9935625,-96.63070133
32.99354233,-96.63066433
32.99353383,-96.63061367
32.99351883,-96.6305525
32.99350933,-96.6304855
32.9935065,-96.630404
32.99351167,-96.63032
32.99352267,-96.63024383
32.99353733,-96.6301735
32.99355467,-96.63010617
32.993569,-96.63004267
32.99358017,-96.62998533
32.9935915,-96.6299295
32.99360367,-96.62987383
32.99361383,-96.62982217
32.99362367,-96.62977217
32.99362683,-96.62972933
32.99363717,-96.62967883
32.99364583,-96.62962617
32.99365517,-96.629575
32.99366633,-96.62951833
32.993681,-96.629457
32.99369417,-96.62939817
32.9937065,-96.629339
32.99372617,-96.62927383
32.99374267,-96.6292095
32.99376217,-96.62914067
32.99377917,-96.62907533
32.99379417,-96.62901433
32.99380517,-96.62896083
32.99381883,-96.62890467
32.993835,-96.628843
32.99385233,-96.62878
32.993863,-96.62872617
32.99387533,-96.6286715
32.99388867,-96.62862067
32.99390183,-96.628573
32.99391867,-96.62852267
32.99393767,-96.62846967
32.99399983,-96.62838433
32.994036,-96.62832867
32.99406533,-96.62828367
32.99410417,-96.62824
32.9941475,-96.62820033
32.99419467,-96.62817283
32.9942405,-96.62815017
32.99429733,-96.62813117
32.99435633,-96.62811967
32.994428,-96.628111
32.99449333,-96.628093
32.99456017,-96.62807267
32.99462317,-96.628043
32.994669,-96.6279935
32.99471083,-96.62794267
32.9947455,-96.627889
32.99477917,-96.62782983
32.99480383,-96.62777483
32.99481933,-96.62772117
32.99482967,-96.6276615
32.994837,-96.62759483
32.99484183,-96.6275165
32.99484717,-96.62742883
32.99484133,-96.62735367
32.9948395,-96.62727967
32.99483467,-96.62721133
32.9948325,-96.62713917
32.99483617,-96.627057
32.99483683,-96.62697883
32.9948355,-96.62691083
32.99483317,-96.62683983
32.99483467,-96.62676433
32.99483567,-96.62669633
32.99483733,-96.626626
32.9948385,-96.62655617
32.99483683,-96.62649317
32.99483883,-96.62642467
32.99483033,-96.62637083
32.99482683,-96.62629967
32.99482733,-96.62623
32.99483083,-96.62616333
32.99484833,-96.626096
32.99486783,-96.62603767
32.99490333,-96.62599283
32.99493867,-96.6259475
32.9949725,-96.6259065
32.9950085,-96.625871
32.99504517,-96.62584683
32.99508683,-96.6258315
32.99513517,-96.625821
32.99521333,-96.62582233
32.99527767,-96.62582133
32.9953435,-96.62581783
32.995414,-96.62582067
32.99548267,-96.62581983
32.99555417,-96.62582183
32.99562467,-96.62582267
32.99569467,-96.62582667
32.99576133,-96.625831
32.995825,-96.62583133
32.99588783,-96.62583317
32.99594983,-96.6258375
32.99601217,-96.62584133
32.99607467,-96.6258425
32.9961395,-96.62584467
32.99620067,-96.6258435
32.99626383,-96.62584683
32.99632633,-96.62585167
32.99638567,-96.6258565
32.99643867,-96.62586917
32.99649333,-96.62589233
32.99654833,-96.62592633
32.99659733,-96.62595917
32.9966405,-96.62599467
32.99668333,-96.6260385
32.9967235,-96.62608717
32.99676067,-96.62612967
32.9967935,-96.6261725
32.99682633,-96.62621333
32.996859,-96.62624133
32.99689317,-96.6262805
32.99692883,-96.62632383
32.9969665,-96.626366
32.99700283,-96.626415
32.99703533,-96.62647683
32.99706233,-96.62653967
32.997082,-96.6266035
32.997099,-96.62666783
32.99711317,-96.62673217
32.997125,-96.6267965
32.99713633,-96.62685783
32.99714783,-96.62691883
32.9971585,-96.62697917
32.99716983,-96.62703767
32.99717767,-96.62709783
32.99718617,-96.62715767
32.99719267,-96.62721467
32.99720017,-96.62727267
32.997208,-96.62733
32.99721833,-96.62738667
32.99722917,-96.62744733
32.997242,-96.627511
32.99725383,-96.62757417
32.99726483,-96.62764383
32.99727633,-96.62771033
32.99728817,-96.62777783
32.99729517,-96.6278475
32.99730483,-96.627919
32.99731217,-96.62799733
32.99731883,-96.62806983
32.99732517,-96.62814483
32.99733617,-96.62821567
32.99734767,-96.62828867
32.99735817,-96.628362
32.99736967,-96.628432
32.99737833,-96.62850483
32.9973865,-96.62857683
32.99739283,-96.628652
32.99740033,-96.62872567
32.99740733,-96.6288
32.99741633,-96.62887217
32.99742783,-96.62893767
32.99743733,-96.62900433
32.99744367,-96.629068
32.99744883,-96.62912617
32.99745367,-96.6291725
32.99745667,-96.6292095
32.997465,-96.62924
32.99747,-96.62926917
32.997475,-96.6293025
